#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: rda
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2022-02-02
#curie_map: 
# linkml: https://w3id.org/linkml/
# rda: https://example.org/rda/
# dcat: http://www.w3.org/ns/dcat#
# DDI: http://example.org/DDI/
# unknown: http://example.org/unknown/
# B2FIND: http://example.org/B2FIND/
# sosa: http://example.org/sosa/
# DATS: http://example.org/DATS/
# dc: http://purl.org/dc/elements/1.1/
# ISO19115-1: http://example.org/ISO19115-1/
# bioschemas: http://example.org/bioschemas/
# ECRIN: http://example.org/ECRIN/
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# Datacite: http://example.org/Datacite/
# Dataverse: http://example.org/Dataverse/
# foaf: http://xmlns.com/foaf/0.1/
# dct: http://example.org/dct/
# CodeMeta: http://example.org/CodeMeta/
# dcterms: https://dublincore.org/specifications/dublin-core/dcmi-terms/#
# EOSC: http://example.org/EOSC/
# owl: http://www.w3.org/2002/07/owl#
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
rda:fileFormat_(superseded_by_encordingFormat)	fileFormat (superseded by encordingFormat)	skos:exactMatch		Datacite:Format		skos:exactMatch	rda									
rda:fileFormat_(superseded_by_encordingFormat)	fileFormat (superseded by encordingFormat)	skos:exactMatch		EOSC:format		skos:exactMatch	rda									
rda:fileFormat_(superseded_by_encordingFormat)	fileFormat (superseded by encordingFormat)	skos:exactMatch		DDI:format		skos:exactMatch	rda									
rda:fileFormat_(superseded_by_encordingFormat)	fileFormat (superseded by encordingFormat)	skos:exactMatch		CodeMeta:fileFormat		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		dcterms:contributor		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		Datacite:contributor		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		ISO19115-1:MD_Identification/credit		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		Dataverse:Grant		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		DATS:acknowledges		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		dcterms:contributor		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		DDI:grantNo		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		CodeMeta:funder		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		dcterms:contributor		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		dcterms:contributor		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		Datacite:contributor		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		ISO19115-1:MD_Identification/citation//citedResponsibleParty//name		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		Dataverse:Grant		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		DATS:acknowledges		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		dcterms:contributor		skos:exactMatch	rda									
rda:funder	funder	skos:exactMatch		CodeMeta:funder		skos:exactMatch	rda									
rda:hasPart	hasPart	skos:exactMatch		dct:hasPart		skos:exactMatch	rda									
rda:hasPart	hasPart	skos:exactMatch		dcterms:hasPart		skos:exactMatch	rda									
rda:hasPart	hasPart	skos:exactMatch		Datacite:hasPart		skos:exactMatch	rda									
rda:hasPart	hasPart	skos:exactMatch		ISO19115-1:MD_Identifcation/associatedResource/name/CI_Citation		skos:exactMatch	rda									
rda:hasPart	hasPart	skos:exactMatch		EOSC:includes(Dataset)		skos:exactMatch	rda									
rda:hasPart	hasPart	skos:exactMatch		DATS:hasPart		skos:exactMatch	rda									
rda:hasPart	hasPart	skos:exactMatch		dcterms:hasPart		skos:exactMatch	rda									
rda:hasPart	hasPart	skos:exactMatch		DDI:hasPart		skos:exactMatch	rda									
rda:hasPart	hasPart	skos:exactMatch		CodeMeta:hasPart		skos:exactMatch	rda									
rda:identifier	identifier	skos:exactMatch		dct:identifier		skos:exactMatch	rda									
rda:identifier	identifier	skos:exactMatch		dcterms:identifier		skos:exactMatch	rda									
rda:identifier	identifier	skos:exactMatch		Datacite:Identifier		skos:exactMatch	rda									
rda:identifier	identifier	skos:exactMatch		ISO19115-1:MD_Identification/citation//identifier//code		skos:exactMatch	rda									
rda:identifier	identifier	skos:exactMatch		EOSC:identifier		skos:exactMatch	rda									
rda:identifier	identifier	skos:exactMatch		Dataverse:Dataset		skos:exactMatch	rda									
rda:identifier	identifier	skos:exactMatch		DATS:identifier		skos:exactMatch	rda									
rda:identifier	identifier	skos:exactMatch		bioschemas:identifier		skos:exactMatch	rda									
rda:identifier	identifier	skos:exactMatch		B2FIND:Identifier		skos:exactMatch	rda									
rda:identifier	identifier	skos:exactMatch		DDI:IDNo		skos:exactMatch	rda									
rda:identifier	identifier	skos:exactMatch		ECRIN:DOI		skos:exactMatch	rda									
rda:identifier	identifier	skos:exactMatch		CodeMeta:identifier		skos:exactMatch	rda									
rda:includedInDataCatalog	includedInDataCatalog	skos:exactMatch		dcterms:isPartOf		skos:exactMatch	rda									
rda:includedInDataCatalog	includedInDataCatalog	skos:exactMatch		Datacite:publisher		skos:exactMatch	rda									
rda:includedInDataCatalog	includedInDataCatalog	skos:exactMatch		ISO19115-1:MD_Identification/associatedResource/name/CI_Citation		skos:exactMatch	rda									
rda:includedInDataCatalog	includedInDataCatalog	skos:exactMatch		EOSC:includedIn(R)		skos:exactMatch	rda									
